data;zona;nome stazione;inquinante;valore
14/01/2025;Sud-Ovest;via Senato;NO2;88
14/01/2025;Sud-Ovest;via Senato;PM10;39
14/01/2025;Sud-Ovest;via Senato;PM25;27
14/01/2025;Centro;Verziere;NO2;94
14/01/2025;Centro;Verziere;O3;37
14/01/2025;Centro;Verziere;PM10;45
15/01/2025;Nord;via Pascal;C6H6;1.8
15/01/2025;Nord;via Pascal;NO2;72
15/01/2025;Nord;via Pascal;O3;46
15/01/2025;Nord;via Pascal;PM10;36
15/01/2025;Nord;via Pascal;PM25;23
15/01/2025;Nord;via Pascal;SO2;2.5
15/01/2025;Centro;viale Liguria;NO2;87
15/01/2025;Est;viale Marche;C6H6;2
15/01/2025;Est;viale Marche;CO_8h;1.1
15/01/2025;Est;viale Marche;NO2;60
15/01/2025;Est;viale Marche;PM10;49
15/01/2025;Est;viale Marche;PM25;26
15/01/2025;Sud-Ovest;via Senato;C6H6;2.4
15/01/2025;Sud-Ovest;via Senato;CO_8h;0.6
15/01/2025;Sud-Ovest;via Senato;NO2;77
15/01/2025;Sud-Ovest;via Senato;PM10;41
15/01/2025;Sud-Ovest;via Senato;PM25;21
15/01/2025;Centro;Verziere;NO2;75
15/01/2025;Centro;Verziere;O3;39
15/01/2025;Centro;Verziere;PM10;36
16/01/2025;Nord;via Pascal;C6H6;3
16/01/2025;Nord;via Pascal;NO2;73
16/01/2025;Nord;via Pascal;O3;23
16/01/2025;Nord;via Pascal;PM10;58
16/01/2025;Nord;via Pascal;PM25;42
16/01/2025;Nord;via Pascal;SO2;2.5
16/01/2025;Centro;viale Liguria;NO2;86
16/01/2025;Est;viale Marche;C6H6;3.1
16/01/2025;Est;viale Marche;CO_8h;2.2
16/01/2025;Est;viale Marche;NO2;73
16/01/2025;Est;viale Marche;PM10;71
16/01/2025;Est;viale Marche;PM25;46
16/01/2025;Sud-Ovest;via Senato;C6H6;4.1
16/01/2025;Sud-Ovest;via Senato;CO_8h;1
16/01/2025;Sud-Ovest;via Senato;NO2;81
16/01/2025;Sud-Ovest;via Senato;PM10;59
16/01/2025;Sud-Ovest;via Senato;PM25;42
16/01/2025;Centro;Verziere;NO2;97
16/01/2025;Centro;Verziere;O3;21
16/01/2025;Centro;Verziere;PM10;64
17/01/2025;Nord;via Pascal;C6H6;3.5
17/01/2025;Nord;via Pascal;NO2;82
17/01/2025;Nord;via Pascal;O3;42
17/01/2025;Nord;via Pascal;PM10;48
17/01/2025;Nord;via Pascal;PM25;31
17/01/2025;Nord;via Pascal;SO2;7
17/01/2025;Centro;viale Liguria;NO2;109
17/01/2025;Est;viale Marche;C6H6;3.6
17/01/2025;Est;viale Marche;CO_8h;2.6
17/01/2025;Est;viale Marche;NO2;81
17/01/2025;Est;viale Marche;PM10;74
17/01/2025;Est;viale Marche;PM25;42
17/01/2025;Sud-Ovest;via Senato;C6H6;4.6
17/01/2025;Sud-Ovest;via Senato;CO_8h;1.3
17/01/2025;Sud-Ovest;via Senato;NO2;99
