data;zona;nome stazione;inquinante;valore
24/02/2025;Est;viale Marche;PM10;95
24/02/2025;Est;viale Marche;PM25;72
24/02/2025;Sud-Ovest;via Senato;C6H6;2.9
24/02/2025;Sud-Ovest;via Senato;CO_8h;0.6
24/02/2025;Sud-Ovest;via Senato;NO2;44
24/02/2025;Sud-Ovest;via Senato;PM10;81
24/02/2025;Sud-Ovest;via Senato;PM25;66
24/02/2025;Centro;Verziere;NO2;55
24/02/2025;Centro;Verziere;O3;36
24/02/2025;Centro;Verziere;PM10;90
25/02/2025;Nord;via Pascal;C6H6;2.2
25/02/2025;Nord;via Pascal;NO2;56
25/02/2025;Nord;via Pascal;O3;31
25/02/2025;Nord;via Pascal;PM10;94
25/02/2025;Nord;via Pascal;PM25;70
25/02/2025;Nord;via Pascal;SO2;2.5
25/02/2025;Centro;viale Liguria;NO2;61
25/02/2025;Est;viale Marche;C6H6;2.2
25/02/2025;Est;viale Marche;CO_8h;1
25/02/2025;Est;viale Marche;NO2;52
25/02/2025;Est;viale Marche;PM10;115
25/02/2025;Est;viale Marche;PM25;78
25/02/2025;Sud-Ovest;via Senato;C6H6;3.1
25/02/2025;Sud-Ovest;via Senato;CO_8h;0.7
25/02/2025;Sud-Ovest;via Senato;NO2;51
25/02/2025;Sud-Ovest;via Senato;PM10;99
25/02/2025;Sud-Ovest;via Senato;PM25;83
25/02/2025;Centro;Verziere;NO2;64
25/02/2025;Centro;Verziere;O3;29
25/02/2025;Centro;Verziere;PM10;110
26/02/2025;Nord;via Pascal;C6H6;2.1
26/02/2025;Nord;via Pascal;NO2;53
26/02/2025;Nord;via Pascal;O3;42
26/02/2025;Nord;via Pascal;PM10;78
26/02/2025;Nord;via Pascal;PM25;60
26/02/2025;Nord;via Pascal;SO2;2.5
26/02/2025;Centro;viale Liguria;NO2;60
26/02/2025;Est;viale Marche;C6H6;2.1
26/02/2025;Est;viale Marche;CO_8h;1.1
26/02/2025;Est;viale Marche;NO2;48
26/02/2025;Est;viale Marche;PM10;72
26/02/2025;Est;viale Marche;PM25;67
26/02/2025;Sud-Ovest;via Senato;C6H6;2.9
26/02/2025;Sud-Ovest;via Senato;CO_8h;0.7
26/02/2025;Sud-Ovest;via Senato;NO2;50
26/02/2025;Sud-Ovest;via Senato;PM10;86
26/02/2025;Sud-Ovest;via Senato;PM25;74
26/02/2025;Centro;Verziere;NO2;64
26/02/2025;Centro;Verziere;O3;39
26/02/2025;Centro;Verziere;PM10;98
27/02/2025;Nord;via Pascal;C6H6;1.4
27/02/2025;Nord;via Pascal;NO2;46
27/02/2025;Nord;via Pascal;O3;52
27/02/2025;Nord;via Pascal;PM10;32
27/02/2025;Nord;via Pascal;PM25;25
27/02/2025;Nord;via Pascal;SO2;2.5
27/02/2025;Centro;viale Liguria;NO2;61
27/02/2025;Est;viale Marche;C6H6;1.7
27/02/2025;Est;viale Marche;CO_8h;1
27/02/2025;Est;viale Marche;NO2;67
27/02/2025;Est;viale Marche;PM10;35
27/02/2025;Est;viale Marche;PM25;28
27/02/2025;Sud-Ovest;via Senato;C6H6;1.9
27/02/2025;Sud-Ovest;via Senato;CO_8h;0.5
27/02/2025;Sud-Ovest;via Senato;NO2;44
27/02/2025;Sud-Ovest;via Senato;PM10;35
27/02/2025;Sud-Ovest;via Senato;PM25;28
27/02/2025;Centro;Verziere;NO2;47
27/02/2025;Centro;Verziere;O3;52
27/02/2025;Centro;Verziere;PM10;35
28/02/2025;Nord;via Pascal;C6H6;1.2
28/02/2025;Nord;via Pascal;NO2;60
28/02/2025;Nord;via Pascal;O3;61
28/02/2025;Nord;via Pascal;PM10;30
28/02/2025;Nord;via Pascal;PM25;21
28/02/2025;Nord;via Pascal;SO2;2.5
28/02/2025;Centro;viale Liguria;NO2;63
28/02/2025;Est;viale Marche;C6H6;1.8
28/02/2025;Est;viale Marche;CO_8h;1
28/02/2025;Est;viale Marche;NO2;69
28/02/2025;Est;viale Marche;PM10;45
28/02/2025;Est;viale Marche;PM25;30
28/02/2025;Sud-Ovest;via Senato;C6H6;1.9
28/02/2025;Sud-Ovest;via Senato;CO_8h;0.6
28/02/2025;Sud-Ovest;via Senato;NO2;54
28/02/2025;Sud-Ovest;via Senato;PM10;34
28/02/2025;Sud-Ovest;via Senato;PM25;24
28/02/2025;Centro;Verziere;NO2;69
28/02/2025;Centro;Verziere;O3;59
28/02/2025;Centro;Verziere;PM10;32
03/03/2025;Nord;via Pascal;C6H6;1
03/03/2025;Nord;via Pascal;NO2;66
03/03/2025;Nord;via Pascal;O3;73
03/03/2025;Nord;via Pascal;PM10;22
03/03/2025;Nord;via Pascal;PM25;17
03/03/2025;Nord;via Pascal;SO2;2.5
03/03/2025;Centro;viale Liguria;NO2;76
03/03/2025;Est;viale Marche;C6H6;1.5
03/03/2025;Est;viale Marche;CO_8h;0.9
03/03/2025;Est;viale Marche;NO2;72
03/03/2025;Est;viale Marche;PM10;31
03/03/2025;Est;viale Marche;PM25;19
03/03/2025;Sud-Ovest;via Senato;C6H6;1
03/03/2025;Sud-Ovest;via Senato;CO_8h;0.25
03/03/2025;Sud-Ovest;via Senato;NO2;38
03/03/2025;Sud-Ovest;via Senato;PM10;19
03/03/2025;Sud-Ovest;via Senato;PM25;17
03/03/2025;Centro;Verziere;NO2;40
03/03/2025;Centro;Verziere;O3;75
03/03/2025;Centro;Verziere;PM10;19
04/03/2025;Nord;via Pascal;C6H6;1.6
04/03/2025;Nord;via Pascal;NO2;78
04/03/2025;Nord;via Pascal;O3;70
04/03/2025;Nord;via Pascal;PM10;38
04/03/2025;Nord;via Pascal;PM25;27
04/03/2025;Nord;via Pascal;SO2;2.5
04/03/2025;Centro;viale Liguria;NO2;97
04/03/2025;Est;viale Marche;C6H6;2.1
04/03/2025;Est;viale Marche;CO_8h;1.2
04/03/2025;Est;viale Marche;NO2;88
04/03/2025;Est;viale Marche;PM10;45
04/03/2025;Est;viale Marche;PM25;28
04/03/2025;Sud-Ovest;via Senato;C6H6;2.3
04/03/2025;Sud-Ovest;via Senato;CO_8h;0.8
04/03/2025;Sud-Ovest;via Senato;NO2;95
04/03/2025;Sud-Ovest;via Senato;PM10;37
04/03/2025;Sud-Ovest;via Senato;PM25;30
04/03/2025;Centro;Verziere;NO2;75
04/03/2025;Centro;Verziere;O3;75
04/03/2025;Centro;Verziere;PM10;35
05/03/2025;Nord;via Pascal;C6H6;3.6
05/03/2025;Nord;via Pascal;NO2;115
05/03/2025;Nord;via Pascal;O3;77
05/03/2025;Nord;via Pascal;PM10;55
05/03/2025;Nord;via Pascal;PM25;35
05/03/2025;Nord;via Pascal;SO2;6
05/03/2025;Centro;viale Liguria;NO2;108
05/03/2025;Est;viale Marche;C6H6;2.8
05/03/2025;Est;viale Marche;CO_8h;1.8
05/03/2025;Est;viale Marche;NO2;106
05/03/2025;Est;viale Marche;PM10;66
05/03/2025;Est;viale Marche;PM25;39
05/03/2025;Sud-Ovest;via Senato;C6H6;3.1
05/03/2025;Sud-Ovest;via Senato;CO_8h;0.8
05/03/2025;Sud-Ovest;via Senato;NO2;83
05/03/2025;Sud-Ovest;via Senato;PM10;53
05/03/2025;Sud-Ovest;via Senato;PM25;37
05/03/2025;Centro;Verziere;NO2;94
05/03/2025;Centro;Verziere;O3;82
05/03/2025;Centro;Verziere;PM10;52
06/03/2025;Nord;via Pascal;C6H6;3.2
06/03/2025;Nord;via Pascal;NO2;131
06/03/2025;Nord;via Pascal;O3;86
06/03/2025;Nord;via Pascal;PM10;55
06/03/2025;Nord;via Pascal;PM25;35
06/03/2025;Nord;via Pascal;SO2;6
06/03/2025;Centro;viale Liguria;NO2;105
06/03/2025;Est;viale Marche;C6H6;3.5
06/03/2025;Est;viale Marche;CO_8h;2
06/03/2025;Est;viale Marche;NO2;107
06/03/2025;Est;viale Marche;PM10;74
06/03/2025;Est;viale Marche;PM25;43
06/03/2025;Sud-Ovest;via Senato;C6H6;3.9
06/03/2025;Sud-Ovest;via Senato;CO_8h;1.1
06/03/2025;Sud-Ovest;via Senato;NO2;84
06/03/2025;Sud-Ovest;via Senato;PM10;59
06/03/2025;Sud-Ovest;via Senato;PM25;38
06/03/2025;Centro;Verziere;NO2;100
06/03/2025;Centro;Verziere;O3;89
06/03/2025;Centro;Verziere;PM10;59
07/03/2025;Nord;via Pascal;C6H6;2.8
07/03/2025;Nord;via Pascal;NO2;109
07/03/2025;Nord;via Pascal;O3;88
07/03/2025;Nord;via Pascal;PM10;45
07/03/2025;Nord;via Pascal;PM25;29
07/03/2025;Nord;via Pascal;SO2;17
07/03/2025;Centro;viale Liguria;NO2;109
07/03/2025;Est;viale Marche;C6H6;2.7
07/03/2025;Est;viale Marche;CO_8h;1.7
07/03/2025;Est;viale Marche;NO2;104
07/03/2025;Est;viale Marche;PM10;66
07/03/2025;Est;viale Marche;PM25;34
07/03/2025;Sud-Ovest;via Senato;C6H6;2.7
07/03/2025;Sud-Ovest;via Senato;CO_8h;0.7
07/03/2025;Sud-Ovest;via Senato;NO2;78
07/03/2025;Sud-Ovest;via Senato;PM10;48
07/03/2025;Sud-Ovest;via Senato;PM25;29
07/03/2025;Centro;Verziere;NO2;92
07/03/2025;Centro;Verziere;O3;91
07/03/2025;Centro;Verziere;PM10;46
10/03/2025;Nord;via Pascal;C6H6;1.6
10/03/2025;Nord;via Pascal;NO2;90
10/03/2025;Nord;via Pascal;O3;81
10/03/2025;Nord;via Pascal;PM10;52
10/03/2025;Nord;via Pascal;PM25;38
10/03/2025;Nord;via Pascal;SO2;20
10/03/2025;Centro;viale Liguria;NO2;102
10/03/2025;Est;viale Marche;C6H6;2.1
10/03/2025;Est;viale Marche;CO_8h;1.7
10/03/2025;Est;viale Marche;NO2;96
10/03/2025;Est;viale Marche;PM10;67
10/03/2025;Est;viale Marche;PM25;42
10/03/2025;Sud-Ovest;via Senato;C6H6;2.1
10/03/2025;Sud-Ovest;via Senato;CO_8h;0.6
10/03/2025;Sud-Ovest;via Senato;NO2;65
10/03/2025;Sud-Ovest;via Senato;PM10;53
10/03/2025;Sud-Ovest;via Senato;PM25;41
10/03/2025;Centro;Verziere;NO2;83
10/03/2025;Centro;Verziere;O3;84
10/03/2025;Centro;Verziere;PM10;56
11/03/2025;Nord;via Pascal;C6H6;1.1
11/03/2025;Nord;via Pascal;NO2;72
11/03/2025;Nord;via Pascal;O3;76
11/03/2025;Nord;via Pascal;PM10;23
11/03/2025;Nord;via Pascal;PM25;15
11/03/2025;Nord;via Pascal;SO2;2.5
11/03/2025;Centro;viale Liguria;NO2;66
11/03/2025;Est;viale Marche;C6H6;1.4
11/03/2025;Est;viale Marche;CO_8h;1.2
11/03/2025;Est;viale Marche;NO2;75
11/03/2025;Est;viale Marche;PM10;31
11/03/2025;Est;viale Marche;PM25;24
11/03/2025;Sud-Ovest;via Senato;C6H6;1.3
11/03/2025;Sud-Ovest;via Senato;CO_8h;0.5
11/03/2025;Sud-Ovest;via Senato;NO2;57
11/03/2025;Sud-Ovest;via Senato;PM10;24
11/03/2025;Sud-Ovest;via Senato;PM25;17
11/03/2025;Centro;Verziere;NO2;54
11/03/2025;Centro;Verziere;O3;74
11/03/2025;Centro;Verziere;PM10;26
12/03/2025;Nord;via Pascal;C6H6;1.1
12/03/2025;Nord;via Pascal;NO2;60
12/03/2025;Nord;via Pascal;O3;52
12/03/2025;Nord;via Pascal;PM10;23
12/03/2025;Nord;via Pascal;PM25;18
12/03/2025;Nord;via Pascal;SO2;2.5
12/03/2025;Centro;viale Liguria;NO2;68
12/03/2025;Est;viale Marche;C6H6;1.6
12/03/2025;Est;viale Marche;CO_8h;1.2
12/03/2025;Est;viale Marche;NO2;64
12/03/2025;Est;viale Marche;PM10;33
12/03/2025;Est;viale Marche;PM25;21
12/03/2025;Sud-Ovest;via Senato;C6H6;1.5
12/03/2025;Sud-Ovest;via Senato;CO_8h;0.6
12/03/2025;Sud-Ovest;via Senato;NO2;48
12/03/2025;Sud-Ovest;via Senato;PM10;25
12/03/2025;Sud-Ovest;via Senato;PM25;20
12/03/2025;Centro;Verziere;NO2;52
12/03/2025;Centro;Verziere;O3;52
12/03/2025;Centro;Verziere;PM10;23
13/03/2025;Nord;via Pascal;C6H6;0.5
13/03/2025;Nord;via Pascal;NO2;45
13/03/2025;Nord;via Pascal;O3;59
13/03/2025;Nord;via Pascal;PM10;12
13/03/2025;Nord;via Pascal;PM25;9
13/03/2025;Nord;via Pascal;SO2;2.5
13/03/2025;Centro;viale Liguria;NO2;50
13/03/2025;Est;viale Marche;C6H6;1.2
13/03/2025;Est;viale Marche;CO_8h;0.8
13/03/2025;Est;viale Marche;NO2;53
13/03/2025;Est;viale Marche;PM10;21
13/03/2025;Est;viale Marche;PM25;15
13/03/2025;Sud-Ovest;via Senato;C6H6;1.1
13/03/2025;Sud-Ovest;via Senato;CO_8h;0.25
13/03/2025;Sud-Ovest;via Senato;NO2;39
13/03/2025;Sud-Ovest;via Senato;PM10;14
13/03/2025;Sud-Ovest;via Senato;PM25;11
13/03/2025;Centro;Verziere;NO2;42
13/03/2025;Centro;Verziere;O3;63
13/03/2025;Centro;Verziere;PM10;11
14/03/2025;Nord;via Pascal;C6H6;0.5
14/03/2025;Nord;via Pascal;NO2;46
14/03/2025;Nord;via Pascal;O3;75
14/03/2025;Nord;via Pascal;PM10;15
14/03/2025;Nord;via Pascal;PM25;11
14/03/2025;Nord;via Pascal;SO2;2.5
14/03/2025;Centro;viale Liguria;NO2;52
14/03/2025;Est;viale Marche;C6H6;1.2
14/03/2025;Est;viale Marche;CO_8h;0.7
14/03/2025;Est;viale Marche;NO2;55
14/03/2025;Est;viale Marche;PM10;23
14/03/2025;Est;viale Marche;PM25;
14/03/2025;Sud-Ovest;via Senato;C6H6;1.3
14/03/2025;Sud-Ovest;via Senato;CO_8h;0.25
14/03/2025;Sud-Ovest;via Senato;NO2;45
14/03/2025;Sud-Ovest;via Senato;PM10;18
14/03/2025;Sud-Ovest;via Senato;PM25;15
14/03/2025;Centro;Verziere;NO2;49
14/03/2025;Centro;Verziere;O3;72
14/03/2025;Centro;Verziere;PM10;15
17/03/2025;Nord;via Pascal;C6H6;0.5
17/03/2025;Nord;via Pascal;NO2;26
17/03/2025;Nord;via Pascal;O3;76
17/03/2025;Nord;via Pascal;PM10;11
17/03/2025;Nord;via Pascal;PM25;5
17/03/2025;Nord;via Pascal;SO2;2.5
17/03/2025;Centro;viale Liguria;NO2;47
17/03/2025;Est;viale Marche;C6H6;0.5
17/03/2025;Est;viale Marche;CO_8h;0.7
17/03/2025;Est;viale Marche;NO2;41
17/03/2025;Est;viale Marche;PM10;9
17/03/2025;Est;viale Marche;PM25;6
17/03/2025;Sud-Ovest;via Senato;C6H6;0.5
17/03/2025;Sud-Ovest;via Senato;CO_8h;0.25
17/03/2025;Sud-Ovest;via Senato;NO2;26
17/03/2025;Sud-Ovest;via Senato;PM10;13
17/03/2025;Sud-Ovest;via Senato;PM25;6
17/03/2025;Centro;Verziere;NO2;28
17/03/2025;Centro;Verziere;O3;71
17/03/2025;Centro;Verziere;PM10;8
18/03/2025;Nord;via Pascal;C6H6;0.5
18/03/2025;Nord;via Pascal;NO2;50
18/03/2025;Nord;via Pascal;O3;80
18/03/2025;Nord;via Pascal;PM10;15
18/03/2025;Nord;via Pascal;PM25;9
18/03/2025;Nord;via Pascal;SO2;5
18/03/2025;Centro;viale Liguria;NO2;47
18/03/2025;Est;viale Marche;C6H6;1.1
18/03/2025;Est;viale Marche;CO_8h;0.7
18/03/2025;Est;viale Marche;NO2;64
18/03/2025;Est;viale Marche;PM10;23
18/03/2025;Est;viale Marche;PM25;8
18/03/2025;Sud-Ovest;via Senato;C6H6;1.1
18/03/2025;Sud-Ovest;via Senato;CO_8h;0.25
18/03/2025;Sud-Ovest;via Senato;NO2;37
18/03/2025;Sud-Ovest;via Senato;PM10;19
18/03/2025;Sud-Ovest;via Senato;PM25;12
18/03/2025;Centro;Verziere;NO2;48
18/03/2025;Centro;Verziere;O3;83
18/03/2025;Centro;Verziere;PM10;15
19/03/2025;Nord;via Pascal;C6H6;0.5
19/03/2025;Nord;via Pascal;NO2;41
19/03/2025;Nord;via Pascal;O3;71
19/03/2025;Nord;via Pascal;PM10;12
19/03/2025;Nord;via Pascal;PM25;6
19/03/2025;Nord;via Pascal;SO2;2.5
19/03/2025;Centro;viale Liguria;NO2;49
19/03/2025;Est;viale Marche;C6H6;1.2
19/03/2025;Est;viale Marche;CO_8h;0.8
19/03/2025;Est;viale Marche;NO2;60
19/03/2025;Est;viale Marche;PM10;21
19/03/2025;Est;viale Marche;PM25;7
19/03/2025;Sud-Ovest;via Senato;C6H6;0.5
19/03/2025;Sud-Ovest;via Senato;CO_8h;0.25
19/03/2025;Sud-Ovest;via Senato;NO2;25
19/03/2025;Sud-Ovest;via Senato;PM10;14
19/03/2025;Sud-Ovest;via Senato;PM25;8
19/03/2025;Centro;Verziere;NO2;33
19/03/2025;Centro;Verziere;O3;73
19/03/2025;Centro;Verziere;PM10;11
20/03/2025;Nord;via Pascal;C6H6;1.3
20/03/2025;Nord;via Pascal;NO2;97
20/03/2025;Nord;via Pascal;O3;70
20/03/2025;Nord;via Pascal;PM10;29
20/03/2025;Nord;via Pascal;PM25;16
20/03/2025;Nord;via Pascal;SO2;5
20/03/2025;Centro;viale Liguria;NO2;83
20/03/2025;Est;viale Marche;C6H6;1.6
20/03/2025;Est;viale Marche;CO_8h;0.9
20/03/2025;Est;viale Marche;NO2;80
20/03/2025;Est;viale Marche;PM10;41
20/03/2025;Est;viale Marche;PM25;19
20/03/2025;Sud-Ovest;via Senato;C6H6;1.3
20/03/2025;Sud-Ovest;via Senato;CO_8h;0.5
20/03/2025;Sud-Ovest;via Senato;NO2;55
20/03/2025;Sud-Ovest;via Senato;PM10;25
20/03/2025;Sud-Ovest;via Senato;PM25;16
20/03/2025;Centro;Verziere;NO2;68
20/03/2025;Centro;Verziere;O3;77
20/03/2025;Centro;Verziere;PM10;25
21/03/2025;Nord;via Pascal;C6H6;1.3
21/03/2025;Nord;via Pascal;NO2;108
21/03/2025;Nord;via Pascal;O3;84
21/03/2025;Nord;via Pascal;PM10;38
21/03/2025;Nord;via Pascal;PM25;24
21/03/2025;Nord;via Pascal;SO2;8
21/03/2025;Centro;viale Liguria;NO2;87
21/03/2025;Est;viale Marche;C6H6;2.1
21/03/2025;Est;viale Marche;CO_8h;1.2
21/03/2025;Est;viale Marche;NO2;91
21/03/2025;Est;viale Marche;PM10;56
21/03/2025;Est;viale Marche;PM25;28
21/03/2025;Sud-Ovest;via Senato;C6H6;2
21/03/2025;Sud-Ovest;via Senato;CO_8h;0.5
21/03/2025;Sud-Ovest;via Senato;NO2;80
21/03/2025;Sud-Ovest;via Senato;PM10;44
21/03/2025;Sud-Ovest;via Senato;PM25;27
21/03/2025;Centro;Verziere;NO2;69
21/03/2025;Centro;Verziere;O3;81
21/03/2025;Centro;Verziere;PM10;37
24/03/2025;Nord;via Pascal;C6H6;0.5
24/03/2025;Nord;via Pascal;NO2;46
24/03/2025;Nord;via Pascal;O3;73
24/03/2025;Nord;via Pascal;PM10;12
24/03/2025;Nord;via Pascal;PM25;10
24/03/2025;Nord;via Pascal;SO2;2.5
24/03/2025;Centro;viale Liguria;NO2;58
24/03/2025;Est;viale Marche;C6H6;1
24/03/2025;Est;viale Marche;CO_8h;0.9
24/03/2025;Est;viale Marche;NO2;49
24/03/2025;Est;viale Marche;PM10;12
24/03/2025;Est;viale Marche;PM25;11
24/03/2025;Sud-Ovest;via Senato;C6H6;0.5
24/03/2025;Sud-Ovest;via Senato;CO_8h;0.25
24/03/2025;Sud-Ovest;via Senato;NO2;41
24/03/2025;Sud-Ovest;via Senato;PM10;11
24/03/2025;Sud-Ovest;via Senato;PM25;10
24/03/2025;Centro;Verziere;NO2;49
24/03/2025;Centro;Verziere;O3;72
24/03/2025;Centro;Verziere;PM10;6
25/03/2025;Nord;via Pascal;C6H6;1.2
25/03/2025;Nord;via Pascal;NO2;52
25/03/2025;Nord;via Pascal;O3;76
25/03/2025;Nord;via Pascal;PM10;17
25/03/2025;Nord;via Pascal;PM25;12
25/03/2025;Nord;via Pascal;SO2;2.5
25/03/2025;Centro;viale Liguria;NO2;60
25/03/2025;Est;viale Marche;C6H6;1.3
25/03/2025;Est;viale Marche;CO_8h;1.1
25/03/2025;Est;viale Marche;NO2;65
25/03/2025;Est;viale Marche;PM10;20
25/03/2025;Est;viale Marche;PM25;12
25/03/2025;Sud-Ovest;via Senato;C6H6;1.4
25/03/2025;Sud-Ovest;via Senato;CO_8h;0.7
25/03/2025;Sud-Ovest;via Senato;NO2;48
25/03/2025;Sud-Ovest;via Senato;PM10;17
25/03/2025;Sud-Ovest;via Senato;PM25;12
25/03/2025;Centro;Verziere;NO2;57
25/03/2025;Centro;Verziere;O3;77
25/03/2025;Centro;Verziere;PM10;12
26/03/2025;Nord;via Pascal;C6H6;1.3
26/03/2025;Nord;via Pascal;NO2;62
26/03/2025;Nord;via Pascal;O3;88
26/03/2025;Nord;via Pascal;PM10;26
26/03/2025;Nord;via Pascal;PM25;18
26/03/2025;Nord;via Pascal;SO2;2.5
26/03/2025;Centro;viale Liguria;NO2;61
26/03/2025;Est;viale Marche;C6H6;2
26/03/2025;Est;viale Marche;CO_8h;1.2
26/03/2025;Est;viale Marche;NO2;62
26/03/2025;Est;viale Marche;PM10;36
26/03/2025;Est;viale Marche;PM25;20
26/03/2025;Sud-Ovest;via Senato;C6H6;2
26/03/2025;Sud-Ovest;via Senato;CO_8h;0.8
26/03/2025;Sud-Ovest;via Senato;NO2;64
26/03/2025;Sud-Ovest;via Senato;PM10;27
26/03/2025;Sud-Ovest;via Senato;PM25;22
26/03/2025;Centro;Verziere;NO2;62
26/03/2025;Centro;Verziere;O3;93
26/03/2025;Centro;Verziere;PM10;24
27/03/2025;Nord;via Pascal;C6H6;0.5
27/03/2025;Nord;via Pascal;NO2;58
27/03/2025;Nord;via Pascal;O3;90
27/03/2025;Nord;via Pascal;PM10;20
27/03/2025;Nord;via Pascal;PM25;13
27/03/2025;Nord;via Pascal;SO2;2.5
27/03/2025;Centro;viale Liguria;NO2;70
27/03/2025;Est;viale Marche;C6H6;1.6
27/03/2025;Est;viale Marche;CO_8h;0
27/03/2025;Est;viale Marche;NO2;71
27/03/2025;Est;viale Marche;PM10;29
27/03/2025;Est;viale Marche;PM25;18
27/03/2025;Sud-Ovest;via Senato;C6H6;1.2
27/03/2025;Sud-Ovest;via Senato;CO_8h;0.7
27/03/2025;Sud-Ovest;via Senato;NO2;54
27/03/2025;Sud-Ovest;via Senato;PM10;22
27/03/2025;Sud-Ovest;via Senato;PM25;16
27/03/2025;Centro;Verziere;NO2;54
27/03/2025;Centro;Verziere;O3;102
27/03/2025;Centro;Verziere;PM10;20
28/03/2025;Nord;via Pascal;C6H6;1
28/03/2025;Nord;via Pascal;NO2;74
28/03/2025;Nord;via Pascal;O3;86
28/03/2025;Nord;via Pascal;PM10;21
28/03/2025;Nord;via Pascal;PM25;13
28/03/2025;Nord;via Pascal;SO2;2.5
28/03/2025;Centro;viale Liguria;NO2;65
28/03/2025;Est;viale Marche;C6H6;1.6
28/03/2025;Est;viale Marche;CO_8h;0
28/03/2025;Est;viale Marche;NO2;74
28/03/2025;Est;viale Marche;PM10;27
28/03/2025;Est;viale Marche;PM25;16
28/03/2025;Sud-Ovest;via Senato;C6H6;1.7
28/03/2025;Sud-Ovest;via Senato;CO_8h;0
28/03/2025;Sud-Ovest;via Senato;NO2;65
28/03/2025;Sud-Ovest;via Senato;PM10;22
28/03/2025;Sud-Ovest;via Senato;PM25;15
28/03/2025;Centro;Verziere;NO2;65
28/03/2025;Centro;Verziere;O3;88
28/03/2025;Centro;Verziere;PM10;17
31/03/2025;Nord;via Pascal;C6H6;1
31/03/2025;Nord;via Pascal;NO2;90
31/03/2025;Nord;via Pascal;O3;88
31/03/2025;Nord;via Pascal;PM10;13
31/03/2025;Nord;via Pascal;PM25;7
31/03/2025;Nord;via Pascal;SO2;5
31/03/2025;Centro;viale Liguria;NO2;84
31/03/2025;Est;viale Marche;C6H6;1.3
31/03/2025;Est;viale Marche;CO_8h;0
31/03/2025;Est;viale Marche;NO2;81
31/03/2025;Est;viale Marche;PM10;14
31/03/2025;Est;viale Marche;PM25;6
31/03/2025;Sud-Ovest;via Senato;C6H6;1.2
31/03/2025;Sud-Ovest;via Senato;CO_8h;0.7
31/03/2025;Sud-Ovest;via Senato;NO2;68
31/03/2025;Sud-Ovest;via Senato;PM10;14
31/03/2025;Sud-Ovest;via Senato;PM25;9
31/03/2025;Centro;Verziere;NO2;70
31/03/2025;Centro;Verziere;O3;86
31/03/2025;Centro;Verziere;PM10;0
